Year,Semester,Code,Name,Units
1,1,CS 111,introduction to computing,3
,,CS 112 ,Fundamentals of programming,3
,,GEE 1 ,Living in the IT Era,3
,,GE 1,Understanding the self,3
,,GE 2,Mathematics in the Modern World,5
,,NSTP 1 ,National Service Training Program 1,3
,,PE 1,Rhytmic Activities,2
,2,CS 121,Intermediate Programming,3
,,CS 122,Discrete Structure 1,3
,,CS 123,Information Management,3
,,GE 3,Readings in philippine History,3
,,GE 4,Purposive Communication,3
,,NSTP 2,National Service Training Program 2,3
,,PE 2,Team Sports,2
2,1,CS 211,Data Structure and Algorithm,3
,,CS 212,Application Development & Emerging,3
,,CS 213,Discrete Structure 2,3
,,CS 214,Object Oriented Programming,3
,,GE 5,Art Appreciation,3
,,GEE 2,Reading in Visual arts,3
,,PE 3,Badminton and Volleyball,2
,2,CS 221 ,Algorithms and Complexity,3
,,CS 222,Architecture and Organization,3
,,CS 223,Human Computer Interaction 1,3
,,CS ELEC 1,Professional Elective 1,3
,,CS MTH,Advance Differential Calculus,3
,,GE 6,The Contemporary World,3
,,GE 7,"Science, Technology and Society",3
,,PE 4,Wellness,2
3,1,CS 311,Automata Theory and Formal Language,3
,,CS 312,Information Assurance and Security 1,3
,,CS 313,Networks and Communication,3
,,CS 314,Software Engineering 1 - Analysis,3
,,CS ELEC 2,Professional Elective 2,3
,,CS ELEC 3,Professional Elective 3,3
,,GE 8,Ethics,3
,2,CS 321,Operating System and Applications,3
,,CS 322,Programming Languages,3
,,CS 323,Software Engineering 2- Implementation,3
,,CS324,Information Assurance and Security 2,3
,,CS ELEC 4,Professional Elective 4,3
,,GE 9,Life and Works of Rizal,3
,,GEE 3,The Entrepreneural Mind,3
,Summer,CS 310,Social Issues and Professional,3
,,CS 332,CS Thesis 1,3
4,1,CS 411,CS Thesis 1,3
,,CS ELEC 5,Professional Elective 5,3
,,CS 413 ,Computational Science,3
,,CS 414,HCI 2 - Graphics and Visual Computing,3
,,CS 415,OS - Parallel and Distributing,3
,,CS 416,Advance Project Management,3
,2,CS 421,Practicum (324 hours),6
